Companyname,diASXcode,industry group name,sector name,listing date,registry address,phone number,principal activities,market cap,number of shares,bid price,website,roles,full name
ALUMINA LIMITED,AWC,Materials,Metals & Mining,1961-10-31T00:00:00+1000,YARRA FALLS 452 JOHNSTON STREET ABBOTSFORD VIC AUSTRALIA 3067,03 8699 2600,Joint venture interest in bauxite mining alumina refining alumina based chemicals and aluminium smelting via its 40 per cent interest in the series of operating entities of Alcoa World Alumina & Chemicals (AWAC).,6364454131,2879843498,2.21,http://www.aluminalimited.com,Assist.Co. Secretary,Mr Colin Barry Hendry
ALUMINA LIMITED,AWC,Materials,Metals & Mining,1961-10-31T00:00:00+1000,YARRA FALLS 452 JOHNSTON STREET ABBOTSFORD VIC AUSTRALIA 3067,03 8699 2600,Joint venture interest in bauxite mining alumina refining alumina based chemicals and aluminium smelting via its 40 per cent interest in the series of operating entities of Alcoa World Alumina & Chemicals (AWAC).,6364454131,2879843498,2.21,http://www.aluminalimited.com
GOLD MOUNTAIN LIMITED,GMN,Materials,Metals & Mining,2011-09-02T00:00:00+1000,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,+61 2 9283 3880,Mineral exploration for gold in Peru and New South Wales.  Production to commence in Peru shortly through 18.8% interest in incorporated joint venture company Goldsmith Resources SAC.,63424475,453031965,0.135,http://www.goldmountainltd.com.au,Chairman,Mr Graham Edward Kavanagh
GOLD MOUNTAIN LIMITED,GMN,Materials,Metals & Mining,2011-09-02T00:00:00+1000,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,+61 2 9283 3880,Mineral exploration for gold in Peru and New South Wales.  Production to commence in Peru shortly through 18.8% interest in incorporated joint venture company Goldsmith Resources SAC.,63424475,453031965,0.135,http://www.goldmountainltd.com.au,Managing Director,Mr Sin Pyng Teng
GOLD MOUNTAIN LIMITED,GMN,Materials,Metals & Mining,2011-09-02T00:00:00+1000,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,+61 2 9283 3880,Mineral exploration for gold in Peru and New South Wales.  Production to commence in Peru shortly through 18.8% interest in incorporated joint venture company Goldsmith Resources SAC.,63424475,453031965,0.135,http://www.goldmountainltd.com.au,Non Exec. Director,Mr Matthew Paul Morgan
GOLD MOUNTAIN LIMITED,GMN,Materials,Metals & Mining,2011-09-02T00:00:00+1000,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,+61 2 9283 3880,Mineral exploration for gold in Peru and New South Wales.  Production to commence in Peru shortly through 18.8% interest in incorporated joint venture company Goldsmith Resources SAC.,63424475,453031965,0.135,http://www.goldmountainltd.com.au,Company Secretary,Mr Eric Kam
GOLD MOUNTAIN LIMITED,GMN,Materials,Metals & Mining,2011-09-02T00:00:00+1000,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,+61 2 9283 3880,Mineral exploration for gold in Peru and New South Wales.  Production to commence in Peru shortly through 18.8% interest in incorporated joint venture company Goldsmith Resources SAC.,63424475,453031965,0.135,http://www.goldmountainltd.com.au
8I HOLDINGS LTD,8IH,Diversified Financials,Financials,2014-12-17T00:00:00+1100,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,+61 8 6555 2950,,104973788,361978581,0.22,http://8iholdings.com/,Executive Chairman,Mr Ken Chee
8I HOLDINGS LTD,8IH,Diversified Financials,Financials,2014-12-17T00:00:00+1100,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,+61 8 6555 2950,,104973788,361978581,0.22,http://8iholdings.com/,Executive Director,Mr Clive Tan
8I HOLDINGS LTD,8IH,Diversified Financials,Financials,2014-12-17T00:00:00+1100,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,+61 8 6555 2950,,104973788,361978581,0.22,http://8iholdings.com/,Independent Director,Mr Yiowmin Chay
8I HOLDINGS LTD,8IH,Diversified Financials,Financials,2014-12-17T00:00:00+1100,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,+61 8 6555 2950,,104973788,361978581,0.22,http://8iholdings.com/,Independent Director,Mr Charles Mac
8I HOLDINGS LTD,8IH,Diversified Financials,Financials,2014-12-17T00:00:00+1100,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,+61 8 6555 2950,,104973788,361978581,0.22,http://8iholdings.com/,CFO,Mr Louis Chua
8I HOLDINGS LTD,8IH,Diversified Financials,Financials,2014-12-17T00:00:00+1100,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,+61 8 6555 2950,,104973788,361978581,0.22,http://8iholdings.com/,External Advisor,Mr Zane Robert Lewis
8I HOLDINGS LTD,8IH,Diversified Financials,Financials,2014-12-17T00:00:00+1100,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,+61 8 6555 2950,,104973788,361978581,0.22,http://8iholdings.com/,Company Secretary,Mr Louis Chua
8I HOLDINGS LTD,8IH,Diversified Financials,Financials,2014-12-17T00:00:00+1100,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,+61 8 6555 2950,,104973788,361978581,0.22,http://8iholdings.com/
ONCOSIL MEDICAL LTD,OSL,Pharmaceuticals Biotechnology & Life Sciences,Health Care,2005-08-15T00:00:00+1000,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,(02) 9223 3344,Oncology Research and Development,80430152,487455468,0.16,http://www.oncosil.com.au,Non Exec. Chairman,Dr Chris Roberts
ONCOSIL MEDICAL LTD,OSL,Pharmaceuticals Biotechnology & Life Sciences,Health Care,2005-08-15T00:00:00+1000,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,(02) 9223 3344,Oncology Research and Development,80430152,487455468,0.16,http://www.oncosil.com.au,Managing Director;CEO,Mr Daniel Kenny
ONCOSIL MEDICAL LTD,OSL,Pharmaceuticals Biotechnology & Life Sciences,Health Care,2005-08-15T00:00:00+1000,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,(02) 9223 3344,Oncology Research and Development,80430152,487455468,0.16,http://www.oncosil.com.au,Non Exec. Director,Dr Roger Aston
ONCOSIL MEDICAL LTD,OSL,Pharmaceuticals Biotechnology & Life Sciences,Health Care,2005-08-15T00:00:00+1000,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,(02) 9223 3344,Oncology Research and Development,80430152,487455468,0.16,http://www.oncosil.com.au,Non Exec. Director,Mr Martin Cross
ONCOSIL MEDICAL LTD,OSL,Pharmaceuticals Biotechnology & Life Sciences,Health Care,2005-08-15T00:00:00+1000,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,(02) 9223 3344,Oncology Research and Development,80430152,487455468,0.16,http://www.oncosil.com.au,CFO,Mr Tom Milicevic
ONCOSIL MEDICAL LTD,OSL,Pharmaceuticals Biotechnology & Life Sciences,Health Care,2005-08-15T00:00:00+1000,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,(02) 9223 3344,Oncology Research and Development,80430152,487455468,0.16,http://www.oncosil.com.au,Company Secretary,Mr Tom Milicevic
ONCOSIL MEDICAL LTD,OSL,Pharmaceuticals Biotechnology & Life Sciences,Health Care,2005-08-15T00:00:00+1000,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,(02) 9223 3344,Oncology Research and Development,80430152,487455468,0.16,http://www.oncosil.com.au,Assist.Co. Secretary,Mr Peter Casey
ONCOSIL MEDICAL LTD,OSL,Pharmaceuticals Biotechnology & Life Sciences,Health Care,2005-08-15T00:00:00+1000,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,(02) 9223 3344,Oncology Research and Development,80430152,487455468,0.16,http://www.oncosil.com.au
PRIME FINANCIAL GROUP LIMITED,PFG,Diversified Financials,Financials,2004-12-07T00:00:00+1100,YARRA FALLS 452 JOHNSTON STREET ABBOTSFORD VIC AUSTRALIA 3067,(03) 9827 6999,Prime is an Integrated Accounting Wealth Management and Capital Advisory firm that operates a direct client advice model and a partnership model with Accounting and Advisory firms. Prime¿¿¿s goal is for clients to receive complete Accounting Wealth Mana,31504657,190937314,0.16,http://www.primefinancial.com.au,Chairman;Non Exec. Director,Mr Paul Cowan
PRIME FINANCIAL GROUP LIMITED,PFG,Diversified Financials,Financials,2004-12-07T00:00:00+1100,YARRA FALLS 452 JOHNSTON STREET ABBOTSFORD VIC AUSTRALIA 3067,(03) 9827 6999,Prime is an Integrated Accounting Wealth Management and Capital Advisory firm that operates a direct client advice model and a partnership model with Accounting and Advisory firms. Prime¿¿¿s goal is for clients to receive complete Accounting Wealth Mana,31504657,190937314,0.16,http://www.primefinancial.com.au,Managing Director;CEO;Director,Mr Simon Madder
PRIME FINANCIAL GROUP LIMITED,PFG,Diversified Financials,Financials,2004-12-07T00:00:00+1100,YARRA FALLS 452 JOHNSTON STREET ABBOTSFORD VIC AUSTRALIA 3067,(03) 9827 6999,Prime is an Integrated Accounting Wealth Management and Capital Advisory firm that operates a direct client advice model and a partnership model with Accounting and Advisory firms. Prime¿¿¿s goal is for clients to receive complete Accounting Wealth Mana,31504657,190937314,0.16,http://www.primefinancial.com.au,Executive Director;CFO,Mr Peter Barry Madder
PRIME FINANCIAL GROUP LIMITED,PFG,Diversified Financials,Financials,2004-12-07T00:00:00+1100,YARRA FALLS 452 JOHNSTON STREET ABBOTSFORD VIC AUSTRALIA 3067,(03) 9827 6999,Prime is an Integrated Accounting Wealth Management and Capital Advisory firm that operates a direct client advice model and a partnership model with Accounting and Advisory firms. Prime¿¿¿s goal is for clients to receive complete Accounting Wealth Mana,31504657,190937314,0.16,http://www.primefinancial.com.au,Non Exec. Director,Mr Tim Carroll
PRIME FINANCIAL GROUP LIMITED,PFG,Diversified Financials,Financials,2004-12-07T00:00:00+1100,YARRA FALLS 452 JOHNSTON STREET ABBOTSFORD VIC AUSTRALIA 3067,(03) 9827 6999,Prime is an Integrated Accounting Wealth Management and Capital Advisory firm that operates a direct client advice model and a partnership model with Accounting and Advisory firms. Prime¿¿¿s goal is for clients to receive complete Accounting Wealth Mana,31504657,190937314,0.16,http://www.primefinancial.com.au,Company Secretary,Mr Simon Munday
PRIME FINANCIAL GROUP LIMITED,PFG,Diversified Financials,Financials,2004-12-07T00:00:00+1100,YARRA FALLS 452 JOHNSTON STREET ABBOTSFORD VIC AUSTRALIA 3067,(03) 9827 6999,Prime is an Integrated Accounting Wealth Management and Capital Advisory firm that operates a direct client advice model and a partnership model with Accounting and Advisory firms. Prime¿¿¿s goal is for clients to receive complete Accounting Wealth Mana,31504657,190937314,0.16,http://www.primefinancial.com.au
BORA BORA RESOURCES LIMITED,BBR,Materials,Metals & Mining,2012-05-11T00:00:00+1000,Level 12 QV1 Building 250 St Georges Terrace PERTH WA AUSTRALIA 6000,+61 2 8072 1400,Graphite gold and other base metals exploration.,-1,51457140,0,http://www.boraboraresources.com.au,Non Exec. Chairman,Mr Patrick Douglas Ford
BORA BORA RESOURCES LIMITED,BBR,Materials,Metals & Mining,2012-05-11T00:00:00+1000,Level 12 QV1 Building 250 St Georges Terrace PERTH WA AUSTRALIA 6000,+61 2 8072 1400,Graphite gold and other base metals exploration.,-1,51457140,0,http://www.boraboraresources.com.au,Non Exec. Director,Mr Piers Reynolds
BORA BORA RESOURCES LIMITED,BBR,Materials,Metals & Mining,2012-05-11T00:00:00+1000,Level 12 QV1 Building 250 St Georges Terrace PERTH WA AUSTRALIA 6000,+61 2 8072 1400,Graphite gold and other base metals exploration.,-1,51457140,0,http://www.boraboraresources.com.au,Non Exec. Director,Mr Nathan Young
BORA BORA RESOURCES LIMITED,BBR,Materials,Metals & Mining,2012-05-11T00:00:00+1000,Level 12 QV1 Building 250 St Georges Terrace PERTH WA AUSTRALIA 6000,+61 2 8072 1400,Graphite gold and other base metals exploration.,-1,51457140,0,http://www.boraboraresources.com.au,Company Secretary,Mr Andrew John Whitten
BORA BORA RESOURCES LIMITED,BBR,Materials,Metals & Mining,2012-05-11T00:00:00+1000,Level 12 QV1 Building 250 St Georges Terrace PERTH WA AUSTRALIA 6000,+61 2 8072 1400,Graphite gold and other base metals exploration.,-1,51457140,0,http://www.boraboraresources.com.au
AUSTRALIAN GOVERNANCE MASTERS INDEX FUND LIMITED,AQF,Diversified Financials,Financials,2010-02-10T00:00:00+1100,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,1300 454 801,Investment in entitites within the S&P ASX 100 Index which in the opinion of the Company have superior governance practices.,48536346,25018735,1.93,http://www.governancemasters.com.au,Chairman,Mr Jeffrey Whalan
AUSTRALIAN GOVERNANCE MASTERS INDEX FUND LIMITED,AQF,Diversified Financials,Financials,2010-02-10T00:00:00+1100,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,1300 454 801,Investment in entitites within the S&P ASX 100 Index which in the opinion of the Company have superior governance practices.,48536346,25018735,1.93,http://www.governancemasters.com.au,Director,Mr Maximilian Walsh
AUSTRALIAN GOVERNANCE MASTERS INDEX FUND LIMITED,AQF,Diversified Financials,Financials,2010-02-10T00:00:00+1100,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,1300 454 801,Investment in entitites within the S&P ASX 100 Index which in the opinion of the Company have superior governance practices.,48536346,25018735,1.93,http://www.governancemasters.com.au,Independent Director,Ms Josephine Tan
AUSTRALIAN GOVERNANCE MASTERS INDEX FUND LIMITED,AQF,Diversified Financials,Financials,2010-02-10T00:00:00+1100,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,1300 454 801,Investment in entitites within the S&P ASX 100 Index which in the opinion of the Company have superior governance practices.,48536346,25018735,1.93,http://www.governancemasters.com.au,Company Secretary,Ms Hannah Chan
AUSTRALIAN GOVERNANCE MASTERS INDEX FUND LIMITED,AQF,Diversified Financials,Financials,2010-02-10T00:00:00+1100,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,1300 454 801,Investment in entitites within the S&P ASX 100 Index which in the opinion of the Company have superior governance practices.,48536346,25018735,1.93,http://www.governancemasters.com.au
INABOX GROUP LIMITED,IAB,Telecommunication Services,Telecommunication Services,2013-07-12T00:00:00+1000,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,1300 783 526,Telecommunications IT and cloud products and services.,12564654,23706894,0.52,http://www.inaboxgroup.com.au,Chairman,Mr David Rampa
INABOX GROUP LIMITED,IAB,Telecommunication Services,Telecommunication Services,2013-07-12T00:00:00+1000,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,1300 783 526,Telecommunications IT and cloud products and services.,12564654,23706894,0.52,http://www.inaboxgroup.com.au,Managing Director;CEO;Director,Mr Damian Kay
INABOX GROUP LIMITED,IAB,Telecommunication Services,Telecommunication Services,2013-07-12T00:00:00+1000,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,1300 783 526,Telecommunications IT and cloud products and services.,12564654,23706894,0.52,http://www.inaboxgroup.com.au,Non Exec. Director,Mr Tom Stianos
INABOX GROUP LIMITED,IAB,Telecommunication Services,Telecommunication Services,2013-07-12T00:00:00+1000,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,1300 783 526,Telecommunications IT and cloud products and services.,12564654,23706894,0.52,http://www.inaboxgroup.com.au,Non Exec. Director,Mr Garry Wayling
INABOX GROUP LIMITED,IAB,Telecommunication Services,Telecommunication Services,2013-07-12T00:00:00+1000,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,1300 783 526,Telecommunications IT and cloud products and services.,12564654,23706894,0.52,http://www.inaboxgroup.com.au
DACIAN GOLD LIMITED,DCN,Materials,Metals & Mining,2012-11-14T00:00:00+1100,Level 11 172 St Georges Terrace PERTH WA AUSTRALIA 6000,(08) 9226 4622,Gold exploration.,512553587,205844814,2.5,http://www.daciangold.com.au,Executive Chairman,Mr Rohan Williams
DACIAN GOLD LIMITED,DCN,Materials,Metals & Mining,2012-11-14T00:00:00+1100,Level 11 172 St Georges Terrace PERTH WA AUSTRALIA 6000,(08) 9226 4622,Gold exploration.,512553587,205844814,2.5,http://www.daciangold.com.au,Non Exec. Director,Mr Ian Cochrane
DACIAN GOLD LIMITED,DCN,Materials,Metals & Mining,2012-11-14T00:00:00+1100,Level 11 172 St Georges Terrace PERTH WA AUSTRALIA 6000,(08) 9226 4622,Gold exploration.,512553587,205844814,2.5,http://www.daciangold.com.au,Non Exec. Director,Mr Barry Patterson
DACIAN GOLD LIMITED,DCN,Materials,Metals & Mining,2012-11-14T00:00:00+1100,Level 11 172 St Georges Terrace PERTH WA AUSTRALIA 6000,(08) 9226 4622,Gold exploration.,512553587,205844814,2.5,http://www.daciangold.com.au,Non Exec. Director,Mr Robert Reynolds
DACIAN GOLD LIMITED,DCN,Materials,Metals & Mining,2012-11-14T00:00:00+1100,Level 11 172 St Georges Terrace PERTH WA AUSTRALIA 6000,(08) 9226 4622,Gold exploration.,512553587,205844814,2.5,http://www.daciangold.com.au,Company Secretary,Mr Kevin Hart
DACIAN GOLD LIMITED,DCN,Materials,Metals & Mining,2012-11-14T00:00:00+1100,Level 11 172 St Georges Terrace PERTH WA AUSTRALIA 6000,(08) 9226 4622,Gold exploration.,512553587,205844814,2.5,http://www.daciangold.com.au
MORPHIC ETHICAL EQUITIES FUND LIMITED,MEC,Diversified Financials,Financials,2017-05-03T00:00:00+1000,LEVEL 4 60 CARRINGTON STREET SYDNEY NSW AUSTRALIA 2000,02 9194 6707,Listed Investment Company,48653143,45470227,1.075,http://www.morethical.com.au,Company Secretary,Mr Justin O'Donnell
MORPHIC ETHICAL EQUITIES FUND LIMITED,MEC,Diversified Financials,Financials,2017-05-03T00:00:00+1000,LEVEL 4 60 CARRINGTON STREET SYDNEY NSW AUSTRALIA 2000,02 9194 6707,Listed Investment Company,48653143,45470227,1.075,http://www.morethical.com.au
ROYALCO RESOURCES LIMITED,RCO,Materials,Metals & Mining,2006-06-29T00:00:00+1000,770 CANNING HIGHWAY APPLECROSS WA AUSTRALIA 6153,(02) 9048 8856,The holding of royalty interests over mining projects and tenements and exploration activities in the Philippines.,11597120,52714183,0.195,http://www.royalco.com.au/,Non Exec. Chairman,Ms Susan Patrcia Thomas
ROYALCO RESOURCES LIMITED,RCO,Materials,Metals & Mining,2006-06-29T00:00:00+1000,770 CANNING HIGHWAY APPLECROSS WA AUSTRALIA 6153,(02) 9048 8856,The holding of royalty interests over mining projects and tenements and exploration activities in the Philippines.,11597120,52714183,0.195,http://www.royalco.com.au/,Non Exec. Director,Mr Malcolm McComas
ROYALCO RESOURCES LIMITED,RCO,Materials,Metals & Mining,2006-06-29T00:00:00+1000,770 CANNING HIGHWAY APPLECROSS WA AUSTRALIA 6153,(02) 9048 8856,The holding of royalty interests over mining projects and tenements and exploration activities in the Philippines.,11597120,52714183,0.195,http://www.royalco.com.au/,Non Exec. Director,Mr Geoffrey Joel Parker
ROYALCO RESOURCES LIMITED,RCO,Materials,Metals & Mining,2006-06-29T00:00:00+1000,770 CANNING HIGHWAY APPLECROSS WA AUSTRALIA 6153,(02) 9048 8856,The holding of royalty interests over mining projects and tenements and exploration activities in the Philippines.,11597120,52714183,0.195,http://www.royalco.com.au/,Company Secretary,Mr Justin Bradley Clyne
ROYALCO RESOURCES LIMITED,RCO,Materials,Metals & Mining,2006-06-29T00:00:00+1000,770 CANNING HIGHWAY APPLECROSS WA AUSTRALIA 6153,(02) 9048 8856,The holding of royalty interests over mining projects and tenements and exploration activities in the Philippines.,11597120,52714183,0.195,http://www.royalco.com.au/
HORIZON OIL LIMITED,HZN,Energy,Energy,1981-06-30T00:00:00+1000,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,(02) 9332 5000,Petroleum exploration development and production.,118480295,1301981265,0.093,http://www.horizonoil.com.au/,Non Exec. Chairman,Mr J S Humphrey
HORIZON OIL LIMITED,HZN,Energy,Energy,1981-06-30T00:00:00+1000,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,(02) 9332 5000,Petroleum exploration development and production.,118480295,1301981265,0.093,http://www.horizonoil.com.au/,Managing Director;CEO,Mr Brent Emmett
HORIZON OIL LIMITED,HZN,Energy,Energy,1981-06-30T00:00:00+1000,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,(02) 9332 5000,Petroleum exploration development and production.,118480295,1301981265,0.093,http://www.horizonoil.com.au/,Non Exec. Director,Mrs Sandra Birkensleigh
HORIZON OIL LIMITED,HZN,Energy,Energy,1981-06-30T00:00:00+1000,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,(02) 9332 5000,Petroleum exploration development and production.,118480295,1301981265,0.093,http://www.horizonoil.com.au/,Non Exec. Director,Mr Gregory John Bittar
HORIZON OIL LIMITED,HZN,Energy,Energy,1981-06-30T00:00:00+1000,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,(02) 9332 5000,Petroleum exploration development and production.,118480295,1301981265,0.093,http://www.horizonoil.com.au/,Non Exec. Director,Mr Gerrit De Nys
HORIZON OIL LIMITED,HZN,Energy,Energy,1981-06-30T00:00:00+1000,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,(02) 9332 5000,Petroleum exploration development and production.,118480295,1301981265,0.093,http://www.horizonoil.com.au/,CFO,Mr Michael Francis Sheridan
HORIZON OIL LIMITED,HZN,Energy,Energy,1981-06-30T00:00:00+1000,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,(02) 9332 5000,Petroleum exploration development and production.,118480295,1301981265,0.093,http://www.horizonoil.com.au/,Company Secretary,Mr Michael Francis Sheridan
HORIZON OIL LIMITED,HZN,Energy,Energy,1981-06-30T00:00:00+1000,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,(02) 9332 5000,Petroleum exploration development and production.,118480295,1301981265,0.093,http://www.horizonoil.com.au/,Assist.Co. Secretary,Ms Kylie Ann Lesley Quinlivan
HORIZON OIL LIMITED,HZN,Energy,Energy,1981-06-30T00:00:00+1000,LEVEL 12 225 GEORGE STREET SYDNEY NSW AUSTRALIA 2000,(02) 9332 5000,Petroleum exploration development and production.,118480295,1301981265,0.093,http://www.horizonoil.com.au/
ALLIGATOR ENERGY LIMITED,AGE,Energy,Energy,2011-02-03T00:00:00+1100,770 CANNING HIGHWAY APPLECROSS WA AUSTRALIA 6153,(07) 3852 4712,Uranium exploration.,5858659,488221544,0.011,http://www.alligatorenergy.com.au,Chairman,Mr John Main
ALLIGATOR ENERGY LIMITED,AGE,Energy,Energy,2011-02-03T00:00:00+1100,770 CANNING HIGHWAY APPLECROSS WA AUSTRALIA 6153,(07) 3852 4712,Uranium exploration.,5858659,488221544,0.011,http://www.alligatorenergy.com.au,Non Exec. Director,Mr Paul Dickson
